Columns,n,type,mean,std,min,25%,50%,75%,max,value 1,value 2,value 3,value 4,value 5,freq 1,freq 2,freq 3,freq 4,freq 5,freq others,freq NA,
220X519,500,float64,0.027474,0.000985529,0.025,0.027,0.028,0.028,0.029,0.028,0.027,0.025,0.029,0.026,305,119,52,20,4,0,0,
220X520,500,float64,0.018294,0.006206497,0.007,0.013,0.02,0.024,0.028,0.025,0.013,0.021,0.02,0.008,49,39,35,35,32,310,0,
220X521,500,float64,0.020556,0.004962269,0.018,0.019,0.019,0.019,0.035,0.019,0.018,0.035,0.034,0.033,356,88,28,26,2,0,0,
220X522,500,float64,930.411598,259.7885008,715.644,810.5865,854.518,895.0485,1847.498,890.857,882.937,758.8,1440.326,769.837,2,1,1,1,1,494,0,
220X523,500,float64,1397.851688,219.861818,750.386,1256.51775,1398.6605,1576.2475,1836.78,1639.384,829.513,1013.679,1424.96,1657.556,2,1,1,1,1,494,0,
220X524,500,int64,828.596,998.2615855,0,0,0,1744.25,3000,0,792,2458,1692,1667,252,2,2,2,2,240,0,
220X526,500,float64,0.12714,0.358533559,0,0,0,0,1.18,0,1.15,1.17,1.16,1.09,444,10,10,7,4,25,0,
220X528,500,int64,901.72,9.150577366,873,900,904,909,914,904,910,900,906,882,98,87,45,29,20,221,0,
220X529,500,int64,598.998,120.2983849,541,553,556,564,945,555,551,560,565,553,81,54,32,29,29,275,0,
220X530,500,float64,17.5916,3.802294614,6.4,18.5,18.9,19.2,20.2,18.9,18.8,19,18.7,19.2,49,43,40,39,37,292,0,
220X531,500,float64,10.24,0.652695966,8.1,10.2,10.4,10.6,11.1,10.5,10.4,10.3,10.6,10.7,85,83,65,56,47,164,0,
220X533,500,float64,6.1586,0.511810453,5.2,5.9,6,6,7.1,6,7,5.9,5.4,5.3,246,112,76,23,18,25,0,
220X535,500,int64,0.494,0.500464714,0,0,0,1,1,0,1,,,,253,247,,,,0,0,
220X536,500,int64,828.596,998.2615855,0,0,0,1744.25,3000,0,792,2458,1692,1667,252,2,2,2,2,240,0,
220X539,500,int64,0.158,0.462020482,0,0,0,0,2,0,1,2,,,441,39,20,,,0,0,
220X540,500,float64,1.186,3.215456783,0,0,0,0,10.1,0,10,9.8,10.1,9.9,440,23,12,7,6,12,0,
220X541,500,float64,0.766,7.855320242,0,0,0,0,88.3,0,39.4,87.6,83.7,88.3,495,1,1,1,1,1,0,"'220X541',"
220X543,500,int64,0.494,0.500464714,0,0,0,1,1,0,1,,,,253,247,,,,0,0,
220X549,500,float64,-0.0904,0.287529453,-0.9,0,0,0,0.1,0,-0.9,0.1,-0.8,,395,53,49,3,,0,0,
220X550,500,int64,33.874,95.15492127,0,0,0,0,310,0,306,294,305,298,435,18,12,9,7,19,0,
220X551,500,int64,0.01,0.099598392,0,0,0,0,1,0,1,,,,495,5,,,,0,0,"'220X551',"
220X554,500,int64,25.286,71.2717583,0,0,0,0,227,0,226,225,227,224,444,18,17,16,3,2,0,
220X557,500,float64,0.0002,0.001991968,0,0,0,0,0.02,0,0.02,,,,495,5,,,,0,0,"'220X557',"
220X568,500,float64,930.411598,259.7885008,715.644,810.5865,854.518,895.0485,1847.498,890.857,882.937,758.8,1440.326,769.837,2,1,1,1,1,494,0,
220X569,500,float64,1397.851688,219.861818,750.386,1256.51775,1398.6605,1576.2475,1836.78,1639.384,829.513,1013.679,1424.96,1657.556,2,1,1,1,1,494,0,
220X570,500,float64,-1.2226,0.837419718,-3.6,-1,-0.9,-0.9,-0.9,-0.9,-1,-3.6,-3.5,,329,115,42,14,,0,0,
220X571,500,float64,-12.9838,0.352087334,-14.2,-13,-12.9,-12.8,-12.5,-12.9,-12.8,-13,-12.7,-13.1,116,103,99,60,29,93,0,
300X1,477,float64,77721.3501,20085.4653,24143,83398,85185,87310,89765,84863,83463,83275,88526,84908,2,1,1,1,1,471,23,
300X5,476,float64,77723.92017,20111.69615,24144,83396.5,85194,87328.75,89766,84864,85525,85530,84138,87369,2,1,1,1,1,470,24,
300X8,476,float64,77663.61975,20084.82431,24144,83361.5,85185.5,87306.25,89695,84865,85539,84910,83756,86624,2,1,1,1,1,470,24,
300X11,484,float64,39181.6095,10037.43603,12189,41982.75,42882.5,43947,45175,43048,43047,45034,42879,42718,2,2,2,2,2,474,16,
300X12,490,float64,77923.2102,19857.27036,24144,83413.5,85189.5,87318,89767,84865,83699,86624,85451,85053,2,1,1,1,1,484,10,
300X21,477,float64,78.36268344,2.168459821,71,79,79,79,79,79,71,,,,439,38,,,,0,23,
310X2,500,float64,1.539634526,0.339696207,0.571126,1.3145245,1.547775,1.744425,2.649734,1.897775,1.087896,1.802849,1.338812,0.971832,2,1,1,1,1,494,0,
310X3,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X4,500,float64,-6.06306202,17.67134901,-36.128205,-22.406855,-7.894089,10.05254575,30.897373,-25.643291,14.747205,-6.858449,-5.855221,4.148485,2,1,1,1,1,494,0,
310X5,500,float64,-0.900533702,0.724537716,-3.069267,-1.396391,-0.881936,-0.364745,1.058017,-0.530076,-0.856448,-0.248632,-0.938764,-0.904511,2,1,1,1,1,494,0,
310X6,500,float64,0.272687084,0.719434879,-2.134295,-0.18641025,0.2759215,0.78792225,2.207114,0.966103,-0.750694,0.82705,-0.015133,-0.785924,2,2,1,1,1,493,0,
310X8,500,float64,0.23150981,0.13049003,-0.262304,0.15236075,0.228456,0.3195205,0.606082,0.437665,0.1834,0.372066,0.005491,0.340429,2,1,1,1,1,494,0,
310X9,500,float64,0.055481436,0.177681959,-0.337162,-0.05108625,0.025229,0.12167675,0.75571,-0.010271,0.130696,0.14735,0.097911,0.067086,2,1,1,1,1,494,0,
310X10,500,float64,1.435444542,0.405291647,0.433938,1.089308,1.465648,1.754041,2.644819,1.836002,1.589919,1.578005,1.615543,0.927927,2,1,1,1,1,494,0,
310X11,500,float64,-5.786359132,17.67352004,-35.857483,-22.15467725,-7.5164295,10.48476875,31.039826,-25.388736,6.893945,-16.339478,-29.525936,20.312851,2,1,1,1,1,494,0,
310X12,500,float64,-1.314877054,0.76156533,-3.468689,-1.8613615,-1.239417,-0.719805,0.581523,-0.963391,-0.54411,-0.964256,-2.985261,-0.382395,2,1,1,1,1,494,0,
310X13,500,float64,0.080969202,0.796810407,-2.546414,-0.432,0.1158175,0.66412375,2.175003,0.469256,-0.460959,-1.200327,0.696243,0.261677,2,1,1,1,1,494,0,
310X14,500,float64,-0.0609634,0.110358393,-0.22,-0.22,0,0,0.0837,0,-0.22,-0.0024,0.0837,0.082,240,157,45,26,16,16,0,
310X15,500,float64,-0.0040748,0.024533987,-0.04,-0.03,0,0,0.0769,0,-0.03,0.0106,0.0409,0.0769,240,157,45,26,16,16,0,
310X17,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X19,500,float64,0.0655118,0.151027156,0,0,0,0,0.583,0,0.3429,0.0863,0.5493,0.583,397,45,26,16,9,7,0,
310X20,500,float64,0.1374966,0.288148753,0,0,0,0,1.0266,0,0.7589,0.3824,1.0266,0.456,397,45,26,16,9,7,0,
310X21,500,float64,-0.0258762,0.061239085,-0.284,0,0,0,0,0,-0.1108,-0.0464,-0.284,-0.152,397,45,26,16,9,7,0,
310X22,500,float64,-0.048685,0.155499874,-0.5726,0,0,0,0.428,0,-0.1958,-0.5726,-0.2904,0.428,397,45,26,16,9,7,0,
310X23,500,float64,0.0120766,0.044419535,-0.0024,0,0,0,0.292,0,-0.0024,0.0837,0.082,0.292,397,45,26,16,9,7,0,
310X24,500,float64,0.0058852,0.016541716,-0.01,0,0,0,0.0769,0,0.0106,0.0409,0.0769,-0.01,397,45,26,16,9,7,0,
310X27,500,float64,14.347382,0.215728964,13.95,14.17875,14.32,14.49525,14.846,14.274,14.254,14.249,14.598,14.318,5,3,3,3,3,483,0,
310X28,500,float64,12.43801,0.672160732,11.12,11.99975,12.3185,12.798,15.459,12.119,12.208,12.271,12.326,12.256,3,3,3,3,3,485,0,
310X29,500,float64,13.781456,1.52384397,12.086,12.297,13.984,15.65275,15.91,12.296,12.297,12.293,12.298,12.315,5,5,4,4,4,478,0,
310X30,500,float64,12.637684,1.034984821,9.97,11.958,13.0165,13.2905,14.718,13.237,13.181,13.146,13.197,13.22,4,4,3,3,3,483,0,
310X31,500,float64,14.521572,0.751546337,12.925,14.699,14.849,14.95575,15.159,14.918,15.019,14.905,14.906,14.907,6,6,5,5,4,474,0,
310X32,500,float64,14.779744,1.380465635,11.885,14.154,14.76,15.869,17.608,14.227,14.232,15.848,15.997,14.281,3,3,3,3,3,485,0,
310X33,500,int64,10454.428,311.4836061,10092,10150,10541,10681,11002,10682,10679,10141,10992,10139,14,12,12,11,10,441,0,
310X34,500,int64,980.21,539.3355315,10,872,987,1169,1788,872,977,1054,987,1776,23,19,11,11,10,426,0,
310X36,500,int64,4458.958,4739.796705,0,0,0,9492.25,9523,0,9504,9500,9501,9481,265,16,9,9,9,192,0,
310X37,500,int64,249.928,388.372756,0,0,0,206,1003,0,873,978,50,988,265,23,21,11,11,169,0,
310X38,500,int64,0.47,0.499599038,0,0,0,1,1,0,1,,,,265,235,,,,0,0,
310X42,500,int64,-35.1,25.28376034,-56,-56,-41,-41,14,-41,-56,14,-51,-46,230,161,99,6,4,0,0,
310X43,500,int64,-93.008,19.13311496,-241,-109,-95,-80,-2,-90,-100,-109,-70,-114,93,86,78,77,43,123,0,
310X44,500,float64,36.63892909,12.60444164,23.544108,25.116374,25.733846,49.996338,49.996338,49.996338,23.817546,23.826497,23.837077,23.818766,235,3,3,3,3,253,0,
310X49,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X55,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X59,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X63,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X67,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X71,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X75,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X79,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X83,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X87,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X92,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X96,500,float64,23.3615,0.169108087,23.01,23.2375,23.37,23.51,23.74,23.52,23.3,23.23,23.03,23.5,42,34,27,23,20,354,0,
310X97,500,float64,0.23466,2.337280609,0,0,0,0,23.7,0,23.6,23.06,23.7,23.43,495,1,1,1,1,1,0,"'310X97',"
310X98,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X99,500,float64,-3.254210868,11.83954365,-24.101158,-14.0320105,-4.0645925,7.79809625,20.877699,-16.862097,-18.909729,-8.86843,-10.968078,-11.833702,2,1,1,1,1,494,0,
310X101,500,float64,14.03449072,8.104221296,-0.230125,7.40672775,13.9346965,20.699343,31.50767,21.807585,15.936855,21.676625,9.046114,18.005194,2,1,1,1,1,494,0,
310X103,500,float64,-0.880320788,5.825275836,-11.515962,-6.0258555,-1.237327,4.469441,10.840906,-7.72762,5.528344,-2.834393,-2.5683,-4.97243,2,1,1,1,1,494,0,
310X105,500,float64,13.70135756,7.977652434,-0.823121,7.3322385,13.880139,20.282028,30.784776,21.180327,22.40582,20.527193,20.046035,23.030426,2,1,1,1,1,494,0,
310X107,500,float64,0.64937947,2.155583855,-3.692927,-1.3314995,0.710017,2.527518,5.158432,-1.955749,1.293001,-2.970273,-1.917691,2.991374,2,1,1,1,1,494,0,
310X109,500,float64,13.74771018,7.931811649,-0.461675,7.27847875,13.924707,20.24335025,30.897305,21.152465,21.942211,14.603626,4.969238,-0.461675,2,1,1,1,1,494,0,
310X111,500,float64,1.943929128,2.177891796,-3.031498,0.01437125,2.1926995,3.71228625,6.564395,3.881328,2.699294,1.049208,3.893944,-0.627725,2,1,1,1,1,494,0,
310X113,500,float64,13.48920116,8.004185392,-0.576041,7.160528,13.633573,20.00204425,30.999789,21.130557,2.933386,16.629326,9.260397,11.565958,2,1,1,1,1,494,0,
310X115,500,float64,3.057047934,5.835601179,-9.825357,-2.24599675,3.2915185,8.3831375,13.500714,9.125577,8.111138,9.494584,10.60276,4.380677,2,1,1,1,1,494,0,
310X117,500,float64,13.2398967,7.969491347,-1.070885,6.6805905,13.424432,19.702746,30.644274,20.896592,0.538955,21.453288,1.458532,13.406265,2,1,1,1,1,494,0,
310X119,500,float64,5.20950552,11.89500268,-20.40615,-5.66059275,6.130442,16.15305825,25.424481,17.98741,15.656508,-4.014135,-14.123309,-14.580997,2,1,1,1,1,494,0,
310X121,500,float64,13.1724343,7.833973289,-1.269619,7.0994415,13.587971,19.406144,30.445132,20.587378,16.455988,13.80466,3.539868,14.516929,2,1,1,1,1,494,0,
310X127,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X129,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X130,500,float64,8.981192106,29.6283401,-151.927576,-6.19981025,8.324338,25.53724775,93.466524,10.773627,7.226756,31.937705,88.667187,16.503812,2,1,1,1,1,494,0,
310X131,500,float64,-233.0942245,205.9114722,-693.327528,-313.5919915,-218.0979,-62.774072,81.904967,-228.148028,-271.740884,5.31897,-576.499016,49.182305,2,1,1,1,1,494,0,
310X132,500,float64,210.9464013,398.7967219,-427.329919,-242.4416205,364.65305,488.816034,823.100523,-272.426789,-313.982112,790.997381,332.034713,-267.761636,2,1,1,1,1,494,0,
310X136,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X147,500,float64,0.352808262,0.026278565,0.298617,0.33281,0.354074,0.368349,0.419155,0.338711,0.366872,0.362606,0.33701,0.342945,31,22,22,21,20,384,0,
310X148,500,float64,0.239577472,0.204006941,-0.335015,0.298075,0.30957,0.322625,0.36894,0.302333,0.30957,0.31085,0.322292,-0.322292,30,23,22,21,20,384,0,
310X149,500,float64,0.367721124,0.04176513,0.301452,0.331173,0.366549,0.401324,0.469634,0.318435,0.339664,0.322681,0.387615,0.34391,46,33,26,24,23,348,0,
310X150,500,float64,0.0660479,0.345342383,-0.462096,-0.36459,0.293817,0.319366,0.419702,0.293817,0.298075,0.315613,-0.449378,-0.445138,45,26,25,23,20,361,0,
310X151,500,float64,0.410325466,0.033102227,0.319817,0.383781,0.41665,0.436353,0.470245,0.444826,0.449062,0.44059,0.419407,0.375252,37,24,23,20,20,376,0,
310X152,500,float64,0.057951382,0.337588559,-0.441253,-0.381854,0.282313,0.302974,0.420039,0.302974,0.298707,0.278099,0.29444,-0.381854,36,31,28,28,26,351,0,
310X153,500,float64,0.414736054,0.05991753,0.333215,0.362516,0.397295,0.467226,0.556424,0.345655,0.375935,0.354575,0.462979,0.501206,31,23,22,21,19,384,0,
310X154,500,float64,0.131818334,0.046519511,-0.135165,0.119286,0.13519,0.159017,0.18287,0.159017,0.104619,0.127238,0.166968,0.151066,66,60,54,50,42,228,0,
310X155,500,float64,0.11612363,0.015749996,0.087955,0.103946,0.112104,0.128118,0.169212,0.103946,0.112104,0.120111,0.09595,0.128118,96,59,57,56,36,196,0,
310X156,500,float64,0.158619326,0.009153816,0.129387,0.151863,0.159856,0.161733,0.185993,0.161733,0.159856,0.151863,0.156995,0.153647,76,73,60,56,56,179,0,
310X157,500,float64,0.147946816,0.017476809,0.113456,0.129663,0.144703,0.160859,0.184988,0.129663,0.160859,0.168902,0.136664,0.144703,89,74,73,50,43,171,0,
310X158,500,float64,0.01768274,0.113727209,-0.145772,-0.113378,0.1025745,0.11161,0.145772,0.11161,-0.121477,-0.129575,0.103638,-0.113378,99,57,48,40,37,219,0,
310X159,500,float64,0.142813418,0.014495052,0.104447,0.136585,0.14462,0.152654,0.192826,0.152654,0.137087,0.160688,0.14462,0.145151,76,75,55,53,52,189,0,
310X160,500,float64,-0.07084672,0.148980626,-0.253725,-0.22201,-0.073178,0.079478,0.09757,0.079478,-0.22201,-0.229939,-0.214081,0.081309,116,72,54,45,37,176,0,
310X161,500,float64,0.190104682,0.038168725,0.154181,0.154207,0.154207,0.230596,0.230596,0.230596,0.154207,0.154181,,,235,166,99,,,0,0,
310X162,500,float64,0.174339026,0.033976414,0.153628,0.153628,0.155196,0.230442,0.232323,0.153628,0.155196,0.232323,0.230442,,205,166,99,30,,0,0,
310X163,500,float64,0.011963032,0.15349098,-0.229579,-0.153053,0.153053,0.153589,0.229579,-0.153053,0.153589,0.153053,0.229579,-0.229579,230,166,101,2,1,0,0,
310X164,500,float64,0.230705692,0.08138123,0.153923,0.153923,0.154272,0.30542,0.381774,0.30542,0.153923,0.154272,0.381774,0.231408,207,166,91,28,8,0,0,
310X165,500,float64,0.158865264,0.018159007,0.152621,0.154207,0.154207,0.155524,0.233285,0.155524,0.154207,0.152621,0.233285,0.231311,208,165,99,27,1,0,0,
310X166,500,float64,0.159615202,0.020151048,0.153885,0.153885,0.153949,0.153962,0.230827,0.153885,0.153949,0.153962,0.230827,,198,166,99,37,,0,0,
310X167,500,float64,0.211612576,0.034419911,0.152849,0.21021875,0.229274,0.231272,0.308363,0.231272,0.229274,0.153053,0.152849,0.229579,232,126,85,40,14,3,0,
310X168,500,float64,0.034802514,0.006832779,-0.024325,0.031133,0.031275,0.03475,0.049152,0.031275,0.031133,0.034592,0.045641,0.03475,151,103,60,55,43,88,0,
310X169,500,float64,0.030935786,0.002958088,-0.020534,0.030801,0.031074,0.031406,0.037645,0.030801,0.031406,0.031074,0.027379,0.034223,148,131,93,55,29,44,0,
310X170,500,float64,0.034274416,0.002858861,0.027624,0.031077,0.034733,0.034798,0.041679,0.031077,0.034733,0.034798,0.038206,0.03453,144,134,71,69,21,61,0,
310X171,500,float64,0.005466612,0.024705671,-0.027695,-0.020772,0.02079,0.024255,0.038081,-0.020772,0.02079,0.038081,0.034619,-0.024233,136,88,55,44,43,134,0,
310X172,500,float64,0.033063152,0.003711765,0.027551,0.030995,0.031346,0.034829,0.041795,0.034829,0.031013,0.038312,0.027567,0.030995,102,95,77,70,51,105,0,
310X173,500,float64,0.037889798,0.002855379,0.031163,0.034626,0.037598,0.041016,0.044434,0.037598,0.034626,0.042135,0.041016,0.038624,152,146,79,72,20,31,0,
310X174,500,float64,0.03435147,0.01055473,-0.027911,0.034592,0.034888,0.038312,0.045278,0.034592,0.034888,0.041795,0.038377,0.038312,114,114,56,52,36,128,0,
310X175,500,float64,0.023595704,0.028005238,-0.038256,0.03125,0.038164,0.041633,0.04869,0.038164,0.041633,-0.027778,0.034722,0.03125,78,76,71,63,38,174,0,
310X176,500,float64,0.044716728,0.009958425,-0.024347,0.0372525,0.041537,0.055589,0.066012,0.038076,0.055589,0.052115,0.034782,0.034614,101,92,90,55,36,126,0,
310X177,500,float64,0.041130758,0.003673837,0.031256,0.038202,0.041625,0.045062,0.051994,0.041625,0.041595,0.045094,0.034729,0.045062,132,95,83,68,41,81,0,
310X178,500,float64,0.045464136,0.007510042,0.031285,0.038237,0.045039,0.052099,0.059046,0.052099,0.041575,0.055572,0.034761,0.048626,116,104,66,61,43,110,0,
310X179,500,float64,0.039864,0.003146191,0.034705,0.038175,0.041658,0.041662,0.048601,0.041658,0.041662,0.038175,0.034705,0.038187,126,87,79,75,53,80,0,
310X180,500,float64,0.051113988,0.008516983,0.038229,0.045003,0.048465,0.059105,0.069535,0.048465,0.059105,0.038229,0.045003,0.055628,92,66,66,62,52,162,0,
310X181,500,float64,0.048820306,0.005038221,0.038229,0.04518,0.048675,0.052152,0.066059,0.052152,0.048621,0.048675,0.041704,0.055628,89,72,69,60,47,163,0,
310X188,500,float64,0.010565392,0.006879068,-0.013044,0.00945975,0.011768,0.01434625,0.020605,0.014339,0.010949,0.020605,0.017237,0.009068,2,2,2,2,2,490,0,
310X200,500,float64,0.066058,0.055418996,-0.075,0.064,0.084,0.1,0.136,0.084,0.104,0.1,0.077,0.093,13,13,12,11,11,440,0,
310X201,500,float64,0.080814518,0.052811269,-0.079721,0.068597,0.090845,0.105676,0.192813,0.094552,0.088991,0.097642,0.099496,0.101968,11,11,9,8,8,453,0,
310X202,500,float64,0.063193188,0.063225539,-0.068597,0.0604085,0.086519,0.103822,0.156351,0.090227,0.088373,-0.055619,-0.054383,0.090845,10,9,9,8,8,456,0,
310X203,500,int64,11.418,10.25092381,1,2,8,24,26,1,26,2,3,25,118,100,53,48,21,160,0,
310X206,500,int64,-31.91,30.6283871,-61,-51,-41,-41,34,-41,-56,-51,34,29,234,122,44,43,32,25,0,
310X207,500,int64,-96.644,35.30311436,-212,-109,-90,-70,102,-70,-90,-100,-95,-109,89,79,65,25,24,218,0,
311X1,500,int64,52.956,18.21421366,36,42,46,52,113,46,42,47,44,41,64,58,46,36,35,261,0,
311X4,440,float64,2.240909091,3.202527346,0,0,0,6,9,0,7,6,8,5,293,60,57,22,6,2,60,
311X7,500,int64,532.906,686.9909769,0,3,153.5,836.25,2953,0,2,15,3,53,77,46,41,24,19,293,0,
311X8,440,float64,493.4659091,672.1016056,0,2,53,791.25,2956,0,2,15,4,3,65,50,33,22,21,249,60,
311X9,500,int64,72.44,48.86756058,45,45,76,79,314,45,79,77,78,82,214,67,46,39,24,110,0,
311X10,440,float64,67.37727273,38.00507617,45,45,55,79,314,45,79,77,78,82,206,53,45,31,15,90,60,
311X11,500,int64,22.626,54.086568,10,10,11,12,311,10,12,11,13,310,198,196,74,8,7,17,0,
311X12,440,float64,17.90909091,39.58648338,10,10,11,12,311,10,12,11,311,213,188,163,73,3,1,12,60,
311X15,500,int64,22.192,1.123236092,18,21,23,23,24,23,22,21,24,20,225,121,90,26,24,14,0,
311X16,440,float64,27.84318182,1.797352866,22,27,28,29,31,29,28,30,27,26,118,80,71,60,53,58,60,
311X17,500,int64,26.14,2.151664314,21,24,27,28,30,28,27,23,24,22,177,124,75,53,19,52,0,
311X18,440,float64,29.03863636,2.121773006,22,28,29,31,33,31,28,30,29,32,82,80,75,70,41,92,60,
311X19,500,int64,21.382,0.919656205,18,21,22,22,23,22,21,20,23,19,246,160,49,22,19,4,0,
311X20,440,float64,26.14545455,1.617593272,21,25,26,28,29,28,25,27,26,24,110,96,95,65,38,36,60,
311X21,500,int64,8.792,2.065252172,8,8,8,8,15,8,15,13,,,434,33,33,,,0,0,
311X22,440,float64,8.843181818,2.136663114,8,8,8,8,15,8,15,13,,,379,33,28,,,0,60,
311X27,252,float64,8.130952381,0.33801961,8,8,8,8,9,8,9,,,,219,33,,,,0,248,
311X28,210,float64,8.157142857,0.364805026,8,8,8,8,9,8,9,,,,177,33,,,,0,290,
311X33,500,int64,6.056,23.40736366,0,1,2,3,351,1,3,2,4,0,149,149,90,50,26,36,0,
311X43,500,int64,1.986,0.117608092,1,2,2,2,2,2,1,,,,493,7,,,,0,0,"'311X43',"
311X44,500,float64,22.4294,0.246976993,22.4,22.4,22.4,22.4,24.5,22.4,24.5,,,,493,7,,,,0,0,"'311X44',"
311X48,500,int64,13135.736,6234.833994,212,9169.75,12556.5,18972.75,23196,11081,958,11802,19455,1102,2,2,2,1,1,492,0,
311X50,500,int64,19.14,2.806448343,10,20,20,20,20,20,10,,,,457,43,,,,0,0,
311X51,500,int64,19.14,2.806448343,10,20,20,20,20,20,10,,,,457,43,,,,0,0,
311X55,500,int64,46662.852,22030.63523,17766,25184.75,66269,67856.25,71013,67316,66559,26971,24899,25925,2,1,1,1,1,494,0,
311X56,500,int64,44.052,0.318589074,44,44,44,44,46,44,46,,,,487,13,,,,0,0,"'311X56',"
311X57,500,int64,3788.922,575.4770365,2447,3399.75,3773.5,4146.25,5120,3528,4026,4045,3869,4039,5,4,4,3,3,481,0,
311X58,500,int64,3738.716,569.6245638,2412,3351.75,3732,4088,5049,3814,3168,2908,3964,3459,4,3,3,3,3,484,0,
311X59,500,int64,3668.232,554.4061097,2375,3295.25,3652.5,4006.75,4957,3911,4014,2862,3201,3893,3,3,3,3,3,485,0,
311X60,500,int64,3821.382,575.8708836,2478,3433.75,3801.5,4176,5160,3531,3486,4754,3773,3895,3,3,3,3,3,485,0,
311X61,500,int64,3827.148,578.9025916,2478,3434.75,3811.5,4183.25,5166,3806,3773,3539,3493,3897,4,3,3,3,3,484,0,
311X62,500,int64,3675.204,554.3943295,2382,3300.75,3657,4016,4960,3918,3747,3716,2869,3912,4,3,3,3,3,484,0,
311X63,500,int64,3739.776,568.4209449,2415,3353,3738.5,4086,5046,4014,3805,3945,3810,3782,4,4,4,3,3,482,0,
311X64,500,int64,3792.426,577.1251749,2447,3400.5,3783.5,4147,5121,4194,2906,3528,3862,4074,3,3,3,3,3,485,0,
311X66,500,int64,367.62,402.6052478,0,0,278,548,1687,0,343,344,249,342,178,8,7,7,6,294,0,
311X67,500,int64,45.45,2.418097266,45,45,45,45,70,45,47,46,52,51,471,6,3,3,2,15,0,
311X68,500,int64,11.386,0.491413242,11,11,11,12,13,11,12,13,,,308,191,1,,,0,0,
311X69,500,int64,79.578,122.6886014,0,2,2,124.25,427,2,0,120,108,119,255,67,6,5,5,162,0,
311X70,500,int64,45.734,4.127628694,45,45,45,45,81,45,74,51,46,76,475,3,3,3,2,14,0,"'311X70',"
311X71,500,int64,11.224,0.417339604,11,11,11,11,12,11,12,,,,388,112,,,,0,0,
311X72,500,int64,92.828,3.125051663,86,90,93,95,99,95,91,94,93,89,65,63,57,47,47,221,0,
311X73,500,float64,0.29624,0.007236514,0.21,0.29,0.3,0.3,0.32,0.3,0.29,0.31,0.32,0.21,254,213,30,2,1,0,0,
311X74,500,float64,0.33278,0.009688102,0.26,0.33,0.34,0.34,0.35,0.34,0.32,0.33,0.31,0.35,273,109,98,14,5,1,0,
311X75,500,float64,0.29618,0.00724656,0.21,0.29,0.3,0.3,0.32,0.3,0.29,0.31,0.32,0.21,251,216,30,2,1,0,0,
311X76,500,int64,56.658,12.91552002,20,47.75,57,67,86,71,58,54,70,55,37,35,23,21,20,364,0,
311X77,500,int64,56.688,12.92008177,20,48,57,67,86,71,58,54,57,55,39,35,23,21,20,362,0,
311X78,500,int64,56.658,12.91552002,20,47.75,57,67,86,71,58,54,70,55,37,35,23,21,20,364,0,
311X80,500,int64,50.626,10.545356,21,43,51,58,77,52,62,51,49,61,38,31,30,27,25,349,0,
311X81,500,int64,50.626,10.545356,21,43,51,58,77,52,62,51,49,61,38,31,30,27,25,349,0,
311X82,500,int64,50.684,10.52471773,21,43,51,58,77,52,62,49,51,61,41,31,29,28,27,344,0,
311X83,500,int64,52.138,11.51173297,21,44.75,53,60,81,64,55,52,54,47,48,40,30,25,21,336,0,
311X84,500,int64,52.138,11.51173297,21,44.75,53,60,81,64,55,52,54,47,48,40,30,25,21,336,0,
311X85,500,int64,52.218,11.5063142,21,45,54,60,81,64,55,52,54,47,43,41,28,25,19,344,0,
311X86,500,int64,52.9,11.09378855,20,46,53.5,61,79,54,64,52,63,53,46,31,28,27,24,344,0,
311X87,500,int64,52.92,11.08961492,20,46,53.5,61,79,54,64,52,63,53,46,31,28,27,25,343,0,
311X88,500,int64,52.9,11.09378855,20,46,53.5,61,79,54,64,52,63,53,46,31,28,27,24,344,0,
